0.07-0.072 https://steamcommunity.com/market/listings/730/StatTrak™ XM1014 | Quicksilver (Minimal Wear)
0.07-0.072 https://steamcommunity.com/market/listings/730/Sawed-Off | Full Stop (Minimal Wear)
0.15-0.152 https://steamcommunity.com/market/listings/730/USP-S | Flashback (Field-Tested)
0.07-0.072 https://steamcommunity.com/market/listings/730/UMP-45 | Exposure (Minimal Wear)
0.15-0.152 https://steamcommunity.com/market/listings/730/StatTrak™ UMP-45 | Grand Prix (Field-Tested)
0.15-0.152 https://steamcommunity.com/market/listings/730/G3SG1 | High Seas (Field-Tested)
0.35-0.36 https://steamcommunity.com/market/listings/730/MAG-7 | Firestarter (Well-Worn)
0.35-0.36 https://steamcommunity.com/market/listings/730/G3SG1 | High Seas (Well-Worn)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/Tec-9 | Safety Net (Factory New)
0.35-0.36 https://steamcommunity.com/market/listings/730/P250 | Inferno (Well-Worn)
0.07-0.072 https://steamcommunity.com/market/listings/730/StatTrak™ R8 Revolver | Survivalist (Minimal Wear)
0.15-0.152 https://steamcommunity.com/market/listings/730/StatTrak™ SCAR-20 | Powercore (Field-Tested)
0.15-0.152 https://steamcommunity.com/market/listings/730/StatTrak™ CZ75-Auto | Red Astor (Field-Tested)
0.07-0.072 https://steamcommunity.com/market/listings/730/Desert Eagle | Sputnik (Minimal Wear)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/SCAR-20 | Torn (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/P90 | Facility Negative (Factory New)
0.15-0.152 https://steamcommunity.com/market/listings/730/FAMAS | Neural Net (Field-Tested)
0.15-0.152 https://steamcommunity.com/market/listings/730/SSG 08 | Ghost Crusader (Field-Tested)
0.35-0.36 https://steamcommunity.com/market/listings/730/StatTrak™ Galil AR | Firefight (Well-Worn)
0.07-0.072 https://steamcommunity.com/market/listings/730/StatTrak™ MAG-7 | Heaven Guard (Minimal Wear)
0.35-0.36 https://steamcommunity.com/market/listings/730/StatTrak™ Dual Berettas | Balance (Well-Worn)
0.07-0.072 https://steamcommunity.com/market/listings/730/G3SG1 | Stinger (Minimal Wear)
0.35-0.36 https://steamcommunity.com/market/listings/730/SG 553 | Tiger Moth (Well-Worn)
0.07-0.072 https://steamcommunity.com/market/listings/730/Galil AR | Firefight (Minimal Wear)
0.15-0.152 https://steamcommunity.com/market/listings/730/UMP-45 | Plastique (Field-Tested)
0.07-0.072 https://steamcommunity.com/market/listings/730/USP-S | Lead Conduit (Minimal Wear)
0.15-0.152 https://steamcommunity.com/market/listings/730/StatTrak™ UMP-45 | Moonrise (Field-Tested)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/Desert Eagle | Bronze Deco (Factory New)
